"MaterialID","MaterialName","Thickness","Width","Size","Material","MaterialStandardPrice","UnitOfMeasure","MaterialType"
"3/8316PIN","3/8in X 3in X 16ft  Pine","3/8","3","3/8in X 3in X 16ft","Pine",4.5,"bdft","Wood"
"12312PIN","12in X 3in X 12ft  Pine","12","3","12in X 3in X 12ft","Pine",135.0,"bdft","Wood"
"684OAK","6in X 8in X 4ft  Oak","6","8","6in X 8in X 4ft","Oak",96.0,"bdft","Wood"
"268ASH","2in X 6in X 8ft  Ash","2","6","2in X 6in X 8ft","Ash",33.6,"bdft","Wood"
"1-1/2812BIR","1-1/2in X 8in X 12ft  Birch","1-1/2","8","1-1/2in X 8in X 12ft","Birch",43.2,"bdft","Wood"
"2124OAK","2in X 12in X 4ft  Oak","2","12","2in X 12in X 4ft","Oak",38.4,"bdft","Wood"
"184WAL","1in X 8in X 4ft  Walnut","1","8","1in X 8in X 4ft","Walnut",14.4,"bdft","Wood"
"1228ASH","12in X 2in X 8ft  Ash","12","2","12in X 2in X 8ft","Ash",84.0,"bdft","Wood"
"1-1/264BIR","1-1/2in X 6in X 4ft  Birch","1-1/2","6","1-1/2in X 6in X 4ft","Birch",10.8,"bdft","Wood"
"10210BIR","10in X 2in X 10ft  Birch","10","2","10in X 2in X 10ft","Birch",75.0,"bdft","Wood"
"4316BIR","4in X 3in X 16ft  Birch","4","3","4in X 3in X 16ft","Birch",72.0,"bdft","Wood"
"1/268BIR","1/2in X 6in X 8ft  Birch","1/2","6","1/2in X 6in X 8ft","Birch",7.2,"bdft","Wood"
"5/8812CHE","5/8in X 8in X 12ft  Cherry","5/8","8","5/8in X 8in X 12ft","Cherry",27.6,"bdft","Wood"
"12812BIR","12in X 8in X 12ft  Birch","12","8","12in X 8in X 12ft","Birch",432.0,"bdft","Wood"
"1416OAK","1in X 4in X 16ft  Oak","1","4","1in X 4in X 16ft","Oak",25.6,"bdft","Wood"
"2616BIR","2in X 6in X 16ft  Birch","2","6","2in X 6in X 16ft","Birch",57.6,"bdft","Wood"
"4410CHE","4in X 4in X 10ft  Cherry","4","4","4in X 4in X 10ft","Cherry",100.0,"bdft","Wood"
"6216OAK","6in X 2in X 16ft  Oak","6","2","6in X 2in X 16ft","Oak",96.0,"bdft","Wood"
"5/8104ASH","5/8in X 10in X 4ft  Ash","5/8","10","5/8in X 10in X 4ft","Ash",8.05,"bdft","Wood"
"448BIR","4in X 4in X 8ft  Birch","4","4","4in X 4in X 8ft","Birch",48.0,"bdft","Wood"
"228OAK","2in X 2in X 8ft  Oak","2","2","2in X 2in X 8ft","Oak",12.8,"bdft","Wood"
"1/444OAK","1/4in X 4in X 4ft  Oak","1/4","4","1/4in X 4in X 4ft","Oak",1.6,"bdft","Wood"
"61010OAK","6in X 10in X 10ft  Oak","6","10","6in X 10in X 10ft","Oak",300.0,"bdft","Wood"
"1044BIR","10in X 4in X 4ft  Birch","10","4","10in X 4in X 4ft","Birch",60.0,"bdft","Wood"
"5/81212ASH","5/8in X 12in X 12ft  Ash","5/8","12","5/8in X 12in X 12ft","Ash",28.98,"bdft","Wood"
"5/4816PIN","5/4in X 8in X 16ft  Pine","5/4","8","5/4in X 8in X 16ft","Pine",40.0,"bdft","Wood"
"3/81012OAK","3/8in X 10in X 12ft  Oak","3/8","10","3/8in X 10in X 12ft","Oak",18.0,"bdft","Wood"
"10310ASH","10in X 3in X 10ft  Ash","10","3","10in X 3in X 10ft","Ash",131.25,"bdft","Wood"
"1-1/2310WAL","1-1/2in X 3in X 10ft  Walnut","1-1/2","3","1-1/2in X 3in X 10ft","Walnut",20.25,"bdft","Wood"
"1/2612CHE","1/2in X 6in X 12ft  Cherry","1/2","6","1/2in X 6in X 12ft","Cherry",18.0,"bdft","Wood"
"1244OAK","12in X 4in X 4ft  Oak","12","4","12in X 4in X 4ft","Oak",96.0,"bdft","Wood"
"1816CHE","1in X 8in X 16ft  Cherry","1","8","1in X 8in X 16ft","Cherry",64.0,"bdft","Wood"
"164OAK","1in X 6in X 4ft  Oak","1","6","1in X 6in X 4ft","Oak",9.6,"bdft","Wood"
"121212OAK","12in X 12in X 12ft  Oak","12","12","12in X 12in X 12ft","Oak",864.0,"bdft","Wood"
"5/4412WAL","5/4in X 4in X 12ft  Walnut","5/4","4","5/4in X 4in X 12ft","Walnut",27.0,"bdft","Wood"
"12610WAL","12in X 6in X 10ft  Walnut","12","6","12in X 6in X 10ft","Walnut",405.0,"bdft","Wood"
"12128OAK","12in X 12in X 8ft  Oak","12","12","12in X 12in X 8ft","Oak",576.0,"bdft","Wood"
"5/8816ASH","5/8in X 8in X 16ft  Ash","5/8","8","5/8in X 8in X 16ft","Ash",25.76,"bdft","Wood"
"3/444WAL","3/4in X 4in X 4ft  Walnut","3/4","4","3/4in X 4in X 4ft","Walnut",5.4,"bdft","Wood"
"1/21210PIN","1/2in X 12in X 10ft  Pine","1/2","12","1/2in X 12in X 10ft","Pine",15.0,"bdft","Wood"
"1/238PIN","1/2in X 3in X 8ft  Pine","1/2","3","1/2in X 3in X 8ft","Pine",3.0,"bdft","Wood"
"1224WAL","12in X 2in X 4ft  Walnut","12","2","12in X 2in X 4ft","Walnut",54.0,"bdft","Wood"
"101210CHE","10in X 12in X 10ft  Cherry","10","12","10in X 12in X 10ft","Cherry",750.0,"bdft","Wood"
"1/4316ASH","1/4in X 3in X 16ft  Ash","1/4","3","1/4in X 3in X 16ft","Ash",4.2,"bdft","Wood"
"41016WAL","4in X 10in X 16ft  Walnut","4","10","4in X 10in X 16ft","Walnut",360.0,"bdft","Wood"
"6410ASH","6in X 4in X 10ft  Ash","6","4","6in X 4in X 10ft","Ash",105.0,"bdft","Wood"
"3/844OAK","3/8in X 4in X 4ft  Oak","3/8","4","3/8in X 4in X 4ft","Oak",2.4,"bdft","Wood"
"5/868OAK","5/8in X 6in X 8ft  Oak","5/8","6","5/8in X 6in X 8ft","Oak",11.04,"bdft","Wood"
"1/2612ASH","1/2in X 6in X 12ft  Ash","1/2","6","1/2in X 6in X 12ft","Ash",12.6,"bdft","Wood"
"1-1/2128CHE","1-1/2in X 12in X 8ft  Cherry","1-1/2","12","1-1/2in X 12in X 8ft","Cherry",72.0,"bdft","Wood"
"11010WAL","1in X 10in X 10ft  Walnut","1","10","1in X 10in X 10ft","Walnut",45.0,"bdft","Wood"
"5/438WAL","5/4in X 3in X 8ft  Walnut","5/4","3","5/4in X 3in X 8ft","Walnut",13.5,"bdft","Wood"
"6108CHE","6in X 10in X 8ft  Cherry","6","10","6in X 10in X 8ft","Cherry",300.0,"bdft","Wood"
"1312OAK","1in X 3in X 12ft  Oak","1","3","1in X 3in X 12ft","Oak",14.4,"bdft","Wood"
"3/8104ASH","3/8in X 10in X 4ft  Ash","3/8","10","3/8in X 10in X 4ft","Ash",5.25,"bdft","Wood"
"2312PIN","2in X 3in X 12ft  Pine","2","3","2in X 3in X 12ft","Pine",18.0,"bdft","Wood"
"61216ASH","6in X 12in X 16ft  Ash","6","12","6in X 12in X 16ft","Ash",504.0,"bdft","Wood"
"5/8128ASH","5/8in X 12in X 8ft  Ash","5/8","12","5/8in X 12in X 8ft","Ash",19.32,"bdft","Wood"
"10812BIR","10in X 8in X 12ft  Birch","10","8","10in X 8in X 12ft","Birch",360.0,"bdft","Wood"
"5/8816OAK","5/8in X 8in X 16ft  Oak","5/8","8","5/8in X 8in X 16ft","Oak",29.44,"bdft","Wood"
"3/41010PIN","3/4in X 10in X 10ft  Pine","3/4","10","3/4in X 10in X 10ft","Pine",18.75,"bdft","Wood"
"2216OAK","2in X 2in X 16ft  Oak","2","2","2in X 2in X 16ft","Oak",25.6,"bdft","Wood"
"2216WAL","2in X 2in X 16ft  Walnut","2","2","2in X 2in X 16ft","Walnut",28.8,"bdft","Wood"
"1-1/2124BIR","1-1/2in X 12in X 4ft  Birch","1-1/2","12","1-1/2in X 12in X 4ft","Birch",21.6,"bdft","Wood"
"3/4104WAL","3/4in X 10in X 4ft  Walnut","3/4","10","3/4in X 10in X 4ft","Walnut",13.5,"bdft","Wood"
"1-1/21216ASH","1-1/2in X 12in X 16ft  Ash","1-1/2","12","1-1/2in X 12in X 16ft","Ash",100.8,"bdft","Wood"
"12124CHE","12in X 12in X 4ft  Cherry","12","12","12in X 12in X 4ft","Cherry",360.0,"bdft","Wood"
"5/81212OAK","5/8in X 12in X 12ft  Oak","5/8","12","5/8in X 12in X 12ft","Oak",33.12,"bdft","Wood"
"10210ASH","10in X 2in X 10ft  Ash","10","2","10in X 2in X 10ft","Ash",87.5,"bdft","Wood"
"3/8416OAK","3/8in X 4in X 16ft  Oak","3/8","4","3/8in X 4in X 16ft","Oak",9.6,"bdft","Wood"
"2316WAL","2in X 3in X 16ft  Walnut","2","3","2in X 3in X 16ft","Walnut",43.2,"bdft","Wood"
"5/81216OAK","5/8in X 12in X 16ft  Oak","5/8","12","5/8in X 12in X 16ft","Oak",44.16,"bdft","Wood"
"3/81010CHE","3/8in X 10in X 10ft  Cherry","3/8","10","3/8in X 10in X 10ft","Cherry",18.75,"bdft","Wood"
"4212PIN","4in X 2in X 12ft  Pine","4","2","4in X 2in X 12ft","Pine",30.0,"bdft","Wood"
"10128CHE","10in X 12in X 8ft  Cherry","10","12","10in X 12in X 8ft","Cherry",600.0,"bdft","Wood"
"1/4612WAL","1/4in X 6in X 12ft  Walnut","1/4","6","1/4in X 6in X 12ft","Walnut",8.1,"bdft","Wood"
"NF1/4","Finish Nail 1/4in",,,"1/4in","Finish Nail",0.0125,"ea","Nails"
"1/4810PIN","1/4in X 8in X 10ft  Pine","1/4","8","1/4in X 8in X 10ft","Pine",5.0,"bdft","Wood"
"3/81210ASH","3/8in X 12in X 10ft  Ash","3/8","12","3/8in X 12in X 10ft","Ash",15.75,"bdft","Wood"
"3/4812BIR","3/4in X 8in X 12ft  Birch","3/4","8","3/4in X 8in X 12ft","Birch",21.6,"bdft","Wood"
"1/4216PIN","1/4in X 2in X 16ft  Pine","1/4","2","1/4in X 2in X 16ft","Pine",2.0,"bdft","Wood"
"3/8310CHE","3/8in X 3in X 10ft  Cherry","3/8","3","3/8in X 3in X 10ft","Cherry",5.625,"bdft","Wood"
"1/4810OAK","1/4in X 8in X 10ft  Oak","1/4","8","1/4in X 8in X 10ft","Oak",8.0,"bdft","Wood"
"5/4312BIR","5/4in X 3in X 12ft  Birch","5/4","3","5/4in X 3in X 12ft","Birch",13.5,"bdft","Wood"
"1/4124OAK","1/4in X 12in X 4ft  Oak","1/4","12","1/4in X 12in X 4ft","Oak",4.8,"bdft","Wood"
"1/4312CHE","1/4in X 3in X 12ft  Cherry","1/4","3","1/4in X 3in X 12ft","Cherry",4.5,"bdft","Wood"
"1228OAK","12in X 2in X 8ft  Oak","12","2","12in X 2in X 8ft","Oak",96.0,"bdft","Wood"
"248PIN","2in X 4in X 8ft  Pine","2","4","2in X 4in X 8ft","Pine",16.0,"bdft","Wood"
"1/434BIR","1/4in X 3in X 4ft  Birch","1/4","3","1/4in X 3in X 4ft","Birch",0.9,"bdft","Wood"
"128PIN","1in X 2in X 8ft  Pine","1","2","1in X 2in X 8ft","Pine",4.0,"bdft","Wood"
"5/448PIN","5/4in X 4in X 8ft  Pine","5/4","4","5/4in X 4in X 8ft","Pine",10.0,"bdft","Wood"
"21216CHE","2in X 12in X 16ft  Cherry","2","12","2in X 12in X 16ft","Cherry",192.0,"bdft","Wood"
"1-1/2212PIN","1-1/2in X 2in X 12ft  Pine","1-1/2","2","1-1/2in X 2in X 12ft","Pine",9.0,"bdft","Wood"
"1/41212WAL","1/4in X 12in X 12ft  Walnut","1/4","12","1/4in X 12in X 12ft","Walnut",16.2,"bdft","Wood"
"684PIN","6in X 8in X 4ft  Pine","6","8","6in X 8in X 4ft","Pine",60.0,"bdft","Wood"
"6124BIR","6in X 12in X 4ft  Birch","6","12","6in X 12in X 4ft","Birch",108.0,"bdft","Wood"
"1/2124BIR","1/2in X 12in X 4ft  Birch","1/2","12","1/2in X 12in X 4ft","Birch",7.2,"bdft","Wood"
"3/8416BIR","3/8in X 4in X 16ft  Birch","3/8","4","3/8in X 4in X 16ft","Birch",7.2,"bdft","Wood"
"4316OAK","4in X 3in X 16ft  Oak","4","3","4in X 3in X 16ft","Oak",96.0,"bdft","Wood"
"5/484ASH","5/4in X 8in X 4ft  Ash","5/4","8","5/4in X 8in X 4ft","Ash",14.0,"bdft","Wood"
"1-1/2216BIR","1-1/2in X 2in X 16ft  Birch","1-1/2","2","1-1/2in X 2in X 16ft","Birch",14.4,"bdft","Wood"
"1/488PIN","1/4in X 8in X 8ft  Pine","1/4","8","1/4in X 8in X 8ft","Pine",4.0,"bdft","Wood"
"41210BIR","4in X 12in X 10ft  Birch","4","12","4in X 12in X 10ft","Birch",180.0,"bdft","Wood"
"5/4610BIR","5/4in X 6in X 10ft  Birch","5/4","6","5/4in X 6in X 10ft","Birch",22.5,"bdft","Wood"
"101012BIR","10in X 10in X 12ft  Birch","10","10","10in X 10in X 12ft","Birch",450.0,"bdft","Wood"
"1-1/21010PIN","1-1/2in X 10in X 10ft  Pine","1-1/2","10","1-1/2in X 10in X 10ft","Pine",37.5,"bdft","Wood"
"1/288CHE","1/2in X 8in X 8ft  Cherry","1/2","8","1/2in X 8in X 8ft","Cherry",16.0,"bdft","Wood"
"12612BIR","12in X 6in X 12ft  Birch","12","6","12in X 6in X 12ft","Birch",324.0,"bdft","Wood"
"2316CHE","2in X 3in X 16ft  Cherry","2","3","2in X 3in X 16ft","Cherry",48.0,"bdft","Wood"
"21210PIN","2in X 12in X 10ft  Pine","2","12","2in X 12in X 10ft","Pine",60.0,"bdft","Wood"
"10216CHE","10in X 2in X 16ft  Cherry","10","2","10in X 2in X 16ft","Cherry",200.0,"bdft","Wood"
"10612OAK","10in X 6in X 12ft  Oak","10","6","10in X 6in X 12ft","Oak",360.0,"bdft","Wood"
"1216OAK","1in X 2in X 16ft  Oak","1","2","1in X 2in X 16ft","Oak",12.8,"bdft","Wood"
"2816BIR","2in X 8in X 16ft  Birch","2","8","2in X 8in X 16ft","Birch",76.8,"bdft","Wood"
"2310PIN","2in X 3in X 10ft  Pine","2","3","2in X 3in X 10ft","Pine",15.0,"bdft","Wood"
"61216PIN","6in X 12in X 16ft  Pine","6","12","6in X 12in X 16ft","Pine",360.0,"bdft","Wood"
"284ASH","2in X 8in X 4ft  Ash","2","8","2in X 8in X 4ft","Ash",22.4,"bdft","Wood"
"6816ASH","6in X 8in X 16ft  Ash","6","8","6in X 8in X 16ft","Ash",336.0,"bdft","Wood"
"3/41010BIR","3/4in X 10in X 10ft  Birch","3/4","10","3/4in X 10in X 10ft","Birch",22.5,"bdft","Wood"
"1/4310WAL","1/4in X 3in X 10ft  Walnut","1/4","3","1/4in X 3in X 10ft","Walnut",3.375,"bdft","Wood"
"1108CHE","1in X 10in X 8ft  Cherry","1","10","1in X 10in X 8ft","Cherry",40.0,"bdft","Wood"
"1-1/2104CHE","1-1/2in X 10in X 4ft  Cherry","1-1/2","10","1-1/2in X 10in X 4ft","Cherry",30.0,"bdft","Wood"
"3/8312OAK","3/8in X 3in X 12ft  Oak","3/8","3","3/8in X 3in X 12ft","Oak",5.4,"bdft","Wood"
"12612ASH","12in X 6in X 12ft  Ash","12","6","12in X 6in X 12ft","Ash",378.0,"bdft","Wood"
"NF3","Finish Nail 3in",,,"3in","Finish Nail",0.15,"ea","Nails"
"3/4212ASH","3/4in X 2in X 12ft  Ash","3/4","2","3/4in X 2in X 12ft","Ash",6.3,"bdft","Wood"
"1316PIN","1in X 3in X 16ft  Pine","1","3","1in X 3in X 16ft","Pine",12.0,"bdft","Wood"
"5/8612ASH","5/8in X 6in X 12ft  Ash","5/8","6","5/8in X 6in X 12ft","Ash",14.49,"bdft","Wood"
"4310WAL","4in X 3in X 10ft  Walnut","4","3","4in X 3in X 10ft","Walnut",67.5,"bdft","Wood"
"4610BIR","4in X 6in X 10ft  Birch","4","6","4in X 6in X 10ft","Birch",90.0,"bdft","Wood"
"5/81016CHE","5/8in X 10in X 16ft  Cherry","5/8","10","5/8in X 10in X 16ft","Cherry",46.0,"bdft","Wood"
"128OAK","1in X 2in X 8ft  Oak","1","2","1in X 2in X 8ft","Oak",6.4,"bdft","Wood"
"2816OAK","2in X 8in X 16ft  Oak","2","8","2in X 8in X 16ft","Oak",102.4,"bdft","Wood"
"12104OAK","12in X 10in X 4ft  Oak","12","10","12in X 10in X 4ft","Oak",240.0,"bdft","Wood"
"3/4612OAK","3/4in X 6in X 12ft  Oak","3/4","6","3/4in X 6in X 12ft","Oak",21.6,"bdft","Wood"
"6310CHE","6in X 3in X 10ft  Cherry","6","3","6in X 3in X 10ft","Cherry",112.5,"bdft","Wood"
"5/8812ASH","5/8in X 8in X 12ft  Ash","5/8","8","5/8in X 8in X 12ft","Ash",19.32,"bdft","Wood"
"1-1/2124OAK","1-1/2in X 12in X 4ft  Oak","1-1/2","12","1-1/2in X 12in X 4ft","Oak",28.8,"bdft","Wood"
"3/864WAL","3/8in X 6in X 4ft  Walnut","3/8","6","3/8in X 6in X 4ft","Walnut",4.05,"bdft","Wood"
"1-1/2216OAK","1-1/2in X 2in X 16ft  Oak","1-1/2","2","1-1/2in X 2in X 16ft","Oak",19.2,"bdft","Wood"
"12816BIR","12in X 8in X 16ft  Birch","12","8","12in X 8in X 16ft","Birch",576.0,"bdft","Wood"
"1128CHE","1in X 12in X 8ft  Cherry","1","12","1in X 12in X 8ft","Cherry",48.0,"bdft","Wood"
"4124BIR","4in X 12in X 4ft  Birch","4","12","4in X 12in X 4ft","Birch",72.0,"bdft","Wood"
"5/448ASH","5/4in X 4in X 8ft  Ash","5/4","4","5/4in X 4in X 8ft","Ash",14.0,"bdft","Wood"
"4412ASH","4in X 4in X 12ft  Ash","4","4","4in X 4in X 12ft","Ash",84.0,"bdft","Wood"
"2104ASH","2in X 10in X 4ft  Ash","2","10","2in X 10in X 4ft","Ash",28.0,"bdft","Wood"
"1/2612WAL","1/2in X 6in X 12ft  Walnut","1/2","6","1/2in X 6in X 12ft","Walnut",16.2,"bdft","Wood"
"5/81212PIN","5/8in X 12in X 12ft  Pine","5/8","12","5/8in X 12in X 12ft","Pine",20.7,"bdft","Wood"
"41212WAL","4in X 12in X 12ft  Walnut","4","12","4in X 12in X 12ft","Walnut",324.0,"bdft","Wood"
"6104OAK","6in X 10in X 4ft  Oak","6","10","6in X 10in X 4ft","Oak",120.0,"bdft","Wood"
"1/4412PIN","1/4in X 4in X 12ft  Pine","1/4","4","1/4in X 4in X 12ft","Pine",3.0,"bdft","Wood"
"5/81016ASH","5/8in X 10in X 16ft  Ash","5/8","10","5/8in X 10in X 16ft","Ash",32.2,"bdft","Wood"
"1416ASH","1in X 4in X 16ft  Ash","1","4","1in X 4in X 16ft","Ash",22.4,"bdft","Wood"
"3/4416PIN","3/4in X 4in X 16ft  Pine","3/4","4","3/4in X 4in X 16ft","Pine",12.0,"bdft","Wood"
"164CHE","1in X 6in X 4ft  Cherry","1","6","1in X 6in X 4ft","Cherry",12.0,"bdft","Wood"
"41012BIR","4in X 10in X 12ft  Birch","4","10","4in X 10in X 12ft","Birch",180.0,"bdft","Wood"
"3/464BIR","3/4in X 6in X 4ft  Birch","3/4","6","3/4in X 6in X 4ft","Birch",5.4,"bdft","Wood"
"3/444CHE","3/4in X 4in X 4ft  Cherry","3/4","4","3/4in X 4in X 4ft","Cherry",6.0,"bdft","Wood"
"1088CHE","10in X 8in X 8ft  Cherry","10","8","10in X 8in X 8ft","Cherry",400.0,"bdft","Wood"
"664ASH","6in X 6in X 4ft  Ash","6","6","6in X 6in X 4ft","Ash",63.0,"bdft","Wood"
"3/4810BIR","3/4in X 8in X 10ft  Birch","3/4","8","3/4in X 8in X 10ft","Birch",18.0,"bdft","Wood"
"121016PIN","12in X 10in X 16ft  Pine","12","10","12in X 10in X 16ft","Pine",600.0,"bdft","Wood"
"1/4108OAK","1/4in X 10in X 8ft  Oak","1/4","10","1/4in X 10in X 8ft","Oak",8.0,"bdft","Wood"
"1-1/2108OAK","1-1/2in X 10in X 8ft  Oak","1-1/2","10","1-1/2in X 10in X 8ft","Oak",48.0,"bdft","Wood"
"1228PIN","12in X 2in X 8ft  Pine","12","2","12in X 2in X 8ft","Pine",60.0,"bdft","Wood"
"1028WAL","10in X 2in X 8ft  Walnut","10","2","10in X 2in X 8ft","Walnut",90.0,"bdft","Wood"
"5/8612CHE","5/8in X 6in X 12ft  Cherry","5/8","6","5/8in X 6in X 12ft","Cherry",20.7,"bdft","Wood"
"1/2816ASH","1/2in X 8in X 16ft  Ash","1/2","8","1/2in X 8in X 16ft","Ash",22.4,"bdft","Wood"
"5/8124PIN","5/8in X 12in X 4ft  Pine","5/8","12","5/8in X 12in X 4ft","Pine",6.9,"bdft","Wood"
"1/21212WAL","1/2in X 12in X 12ft  Walnut","1/2","12","1/2in X 12in X 12ft","Walnut",32.4,"bdft","Wood"
"268CHE","2in X 6in X 8ft  Cherry","2","6","2in X 6in X 8ft","Cherry",48.0,"bdft","Wood"
"10124CHE","10in X 12in X 4ft  Cherry","10","12","10in X 12in X 4ft","Cherry",300.0,"bdft","Wood"
"164PIN","1in X 6in X 4ft  Pine","1","6","1in X 6in X 4ft","Pine",6.0,"bdft","Wood"
"1/4310CHE","1/4in X 3in X 10ft  Cherry","1/4","3","1/4in X 3in X 10ft","Cherry",3.75,"bdft","Wood"
"NC058","Common Nail 5/8in",,,,,0.0575,"each","Nails"
"1212PIN","1in X 2in X 12ft  Pine","1","2","1in X 2in X 12ft","Pine",6.0,"bdft","Wood"
"1/224WAL","1/2in X 2in X 4ft  Walnut","1/2","2","1/2in X 2in X 4ft","Walnut",1.8,"bdft","Wood"
"5/81216PIN","5/8in X 12in X 16ft  Pine","5/8","12","5/8in X 12in X 16ft","Pine",27.6,"bdft","Wood"
"1048WAL","10in X 4in X 8ft  Walnut","10","4","10in X 4in X 8ft","Walnut",180.0,"bdft","Wood"
"3/824BIR","3/8in X 2in X 4ft  Birch","3/8","2","3/8in X 2in X 4ft","Birch",0.9,"bdft","Wood"
"21016WAL","2in X 10in X 16ft  Walnut","2","10","2in X 10in X 16ft","Walnut",144.0,"bdft","Wood"
"428WAL","4in X 2in X 8ft  Walnut","4","2","4in X 2in X 8ft","Walnut",36.0,"bdft","Wood"
"5/848CHE","5/8in X 4in X 8ft  Cherry","5/8","4","5/8in X 4in X 8ft","Cherry",9.2,"bdft","Wood"
"3/838ASH","3/8in X 3in X 8ft  Ash","3/8","3","3/8in X 3in X 8ft","Ash",3.15,"bdft","Wood"
"1/4216OAK","1/4in X 2in X 16ft  Oak","1/4","2","1/4in X 2in X 16ft","Oak",3.2,"bdft","Wood"
"10210OAK","10in X 2in X 10ft  Oak","10","2","10in X 2in X 10ft","Oak",100.0,"bdft","Wood"
"488WAL","4in X 8in X 8ft  Walnut","4","8","4in X 8in X 8ft","Walnut",144.0,"bdft","Wood"
"NF5/8","Finish Nail 5/8in",,,"5/8in","Finish Nail",0.02875,"ea","Nails"
"10616ASH","10in X 6in X 16ft  Ash","10","6","10in X 6in X 16ft","Ash",420.0,"bdft","Wood"
"5/8412WAL","5/8in X 4in X 12ft  Walnut","5/8","4","5/8in X 4in X 12ft","Walnut",12.42,"bdft","Wood"
"3/81210PIN","3/8in X 12in X 10ft  Pine","3/8","12","3/8in X 12in X 10ft","Pine",11.25,"bdft","Wood"
"1238OAK","12in X 3in X 8ft  Oak","12","3","12in X 3in X 8ft","Oak",144.0,"bdft","Wood"
"1/2212OAK","1/2in X 2in X 12ft  Oak","1/2","2","1/2in X 2in X 12ft","Oak",4.8,"bdft","Wood"
"5/81016OAK","5/8in X 10in X 16ft  Oak","5/8","10","5/8in X 10in X 16ft","Oak",36.8,"bdft","Wood"
"5/488PIN","5/4in X 8in X 8ft  Pine","5/4","8","5/4in X 8in X 8ft","Pine",20.0,"bdft","Wood"
"6610WAL","6in X 6in X 10ft  Walnut","6","6","6in X 6in X 10ft","Walnut",202.5,"bdft","Wood"
"1/4812WAL","1/4in X 8in X 12ft  Walnut","1/4","8","1/4in X 8in X 12ft","Walnut",10.8,"bdft","Wood"
"3/424ASH","3/4in X 2in X 4ft  Ash","3/4","2","3/4in X 2in X 4ft","Ash",2.1,"bdft","Wood"
"6816CHE","6in X 8in X 16ft  Cherry","6","8","6in X 8in X 16ft","Cherry",480.0,"bdft","Wood"
"12312CHE","12in X 3in X 12ft  Cherry","12","3","12in X 3in X 12ft","Cherry",270.0,"bdft","Wood"
"10410PIN","10in X 4in X 10ft  Pine","10","4","10in X 4in X 10ft","Pine",125.0,"bdft","Wood"
"1288ASH","12in X 8in X 8ft  Ash","12","8","12in X 8in X 8ft","Ash",336.0,"bdft","Wood"
"5/81216ASH","5/8in X 12in X 16ft  Ash","5/8","12","5/8in X 12in X 16ft","Ash",38.64,"bdft","Wood"
"4312BIR","4in X 3in X 12ft  Birch","4","3","4in X 3in X 12ft","Birch",54.0,"bdft","Wood"
"10128BIR","10in X 12in X 8ft  Birch","10","12","10in X 12in X 8ft","Birch",360.0,"bdft","Wood"
"238BIR","2in X 3in X 8ft  Birch","2","3","2in X 3in X 8ft","Birch",14.4,"bdft","Wood"
"1410ASH","1in X 4in X 10ft  Ash","1","4","1in X 4in X 10ft","Ash",14.0,"bdft","Wood"
"1/4124PIN","1/4in X 12in X 4ft  Pine","1/4","12","1/4in X 12in X 4ft","Pine",3.0,"bdft","Wood"
"448OAK","4in X 4in X 8ft  Oak","4","4","4in X 4in X 8ft","Oak",64.0,"bdft","Wood"
"3/8812CHE","3/8in X 8in X 12ft  Cherry","3/8","8","3/8in X 8in X 12ft","Cherry",18.0,"bdft","Wood"
"5/4128ASH","5/4in X 12in X 8ft  Ash","5/4","12","5/4in X 12in X 8ft","Ash",42.0,"bdft","Wood"
"12812OAK","12in X 8in X 12ft  Oak","12","8","12in X 8in X 12ft","Oak",576.0,"bdft","Wood"
"5/41012OAK","5/4in X 10in X 12ft  Oak","5/4","10","5/4in X 10in X 12ft","Oak",60.0,"bdft","Wood"
"3/8312BIR","3/8in X 3in X 12ft  Birch","3/8","3","3/8in X 3in X 12ft","Birch",4.05,"bdft","Wood"
"1/4124CHE","1/4in X 12in X 4ft  Cherry","1/4","12","1/4in X 12in X 4ft","Cherry",6.0,"bdft","Wood"
"1-1/2212BIR","1-1/2in X 2in X 12ft  Birch","1-1/2","2","1-1/2in X 2in X 12ft","Birch",10.8,"bdft","Wood"
"21212CHE","2in X 12in X 12ft  Cherry","2","12","2in X 12in X 12ft","Cherry",144.0,"bdft","Wood"
"5/81216BIR","5/8in X 12in X 16ft  Birch","5/8","12","5/8in X 12in X 16ft","Birch",33.12,"bdft","Wood"
"1-1/284ASH","1-1/2in X 8in X 4ft  Ash","1-1/2","8","1-1/2in X 8in X 4ft","Ash",16.8,"bdft","Wood"
"5/4216WAL","5/4in X 2in X 16ft  Walnut","5/4","2","5/4in X 2in X 16ft","Walnut",18.0,"bdft","Wood"
"3/4312BIR","3/4in X 3in X 12ft  Birch","3/4","3","3/4in X 3in X 12ft","Birch",8.1,"bdft","Wood"
"228WAL","2in X 2in X 8ft  Walnut","2","2","2in X 2in X 8ft","Walnut",14.4,"bdft","Wood"
"1-1/238CHE","1-1/2in X 3in X 8ft  Cherry","1-1/2","3","1-1/2in X 3in X 8ft","Cherry",18.0,"bdft","Wood"
"2210CHY","2in X 2in X 10ft  Cherry","2","2","2in X 2in X 10ft","Cherry",44.0,"bdft","Wood"
"6416OAK","6in X 4in X 16ft  Oak","6","4","6in X 4in X 16ft","Oak",192.0,"bdft","Wood"
"1/2310WAL","1/2in X 3in X 10ft  Walnut","1/2","3","1/2in X 3in X 10ft","Walnut",6.75,"bdft","Wood"
